sigla_provincia;codice_istat;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita;stato_validita
PD;028001;ABANO;A001;19/11/1866;13/11/1924;Inattivo
PD;028001;"ABANO TERME";A001;14/11/1924;;Attivo
TO;001801;"ABBADIA ALPINA";A003;01/04/1864;05/12/1928;Inattivo
MI;015001;"ABBADIA CERRETO";A004;17/03/1861;15/04/1992;Inattivo
LO;098001;"ABBADIA CERRETO";A004;16/04/1992;;Attivo
CO;013001;"ABBADIA LARIANA";A005;06/03/1928;15/04/1992;Inattivo
LC;097001;"ABBADIA LARIANA";A005;16/04/1992;;Attivo
SI;052001;"ABBADIA SAN SALVATORE";A006;22/07/1867;;Attivo
CO;013801;"ABBADIA SOPRA ADDA";A002;23/02/1863;06/03/1928;Inattivo
CA;092001;ABBASANTA;A007;02/11/1934;19/08/1974;Inattivo
CA;092001;ABBASANTA;A007;17/03/1861;27/07/1927;Inattivo
OR;095001;ABBASANTA;A007;20/08/1974;31/03/2025;Inattivo
OR;115001;Abbasanta;A007;01/04/2025;;Attivo
PE;068001;ABBATEGGIO;A008;10/01/1947;;Attivo
PE;068001;ABBATEGGIO;A008;12/01/1927;22/05/1929;Inattivo
CH;069803;ABBATEGGIO;A008;17/03/1861;11/01/1927;Inattivo
FU;701701;ABBAZIA;A009;22/12/1931;15/09/1947;Inattivo
MI;015002;ABBIATEGRASSO;A010;05/04/1869;;Attivo
VA;012801;ABBIATEGUAZZONE;A011;12/01/1927;18/06/1928;Inattivo
CO;013962;ABBIATEGUAZZONE;A011;17/03/1861;11/01/1927;Inattivo
PT;047001;ABETONE;A012;26/07/1936;31/12/2016;Inattivo
PT;047023;"ABETONE CUTIGLIANO";M376;01/01/2017;;Attivo
PZ;076001;ABRIOLA;A013;17/03/1861;;Attivo
RG;088001;ACATE;A014;09/07/1938;;Attivo
AV;064809;ACCADIA;A015;17/03/1861;05/08/1927;Inattivo
FG;071001;ACCADIA;A015;06/08/1927;;Attivo
CN;004001;ACCEGLIO;A016;17/03/1861;;Attivo
PZ;076802;ACCETTURA;A017;17/03/1861;11/01/1927;Inattivo
MT;077001;ACCETTURA;A017;12/01/1927;;Attivo
AQ;066001;ACCIANO;A018;17/03/1861;;Attivo
RI;057001;ACCUMOLI;A019;12/01/1927;;Attivo
AQ;066808;ACCUMOLI;A019;17/03/1861;11/01/1927;Inattivo
PZ;076002;ACERENZA;A020;17/03/1861;;Attivo
BZ;021801;ACERETO;A021;12/01/1927;08/02/1929;Inattivo
TN;022943;ACERETO;A021;14/02/1923;11/01/1927;Inattivo
TN;802001;ACERETO;A021;16/10/1920;13/02/1923;Inattivo
TN;022970;ACERNES;A022;14/02/1923;26/04/1923;Inattivo
TN;802105;ACERNES;A022;16/10/1920;13/02/1923;Inattivo
SA;065001;ACERNO;A023;17/03/1861;;Attivo
CE;061810;ACERRA;A024;17/03/1861;11/01/1927;Inattivo
NA;063001;ACERRA;A024;12/01/1927;;Attivo
CT;087001;"ACI BONACCORSI";A025;17/03/1861;;Attivo
CT;087002;"ACI CASTELLO";A026;17/03/1861;;Attivo
CT;087003;"ACI CATENA";A027;17/03/1861;;Attivo
CT;087005;"ACI SANT'ANTONIO";A029;17/03/1861;;Attivo
CT;087004;ACIREALE;A028;17/03/1861;;Attivo
MC;043001;ACQUACANINA;A031;17/03/1861;31/12/2016;Inattivo
FR;060001;ACQUAFONDATA;A032;12/01/1927;;Attivo
CE;061811;ACQUAFONDATA;A032;23/07/1902;11/01/1927;Inattivo
CS;078001;ACQUAFORMOSA;A033;17/03/1861;;Attivo
BS;017001;ACQUAFREDDA;A034;17/03/1861;;Attivo
PU;041001;ACQUALAGNA;A035;17/03/1861;;Attivo
BS;017801;ACQUALUNGA;A036;17/03/1861;31/12/1927;Inattivo
CR;019001;"ACQUANEGRA CREMONESE";A039;01/01/1868;;Attivo
MN;020001;"ACQUANEGRA SUL CHIESE";A038;01/07/1868;;Attivo
VT;056001;ACQUAPENDENTE;A040;12/01/1927;;Attivo
RM;058803;ACQUAPENDENTE;A040;15/01/1871;11/01/1927;Inattivo
CS;078002;ACQUAPPESA;A041;22/02/1945;;Attivo
CS;078002;ACQUAPPESA;A041;17/03/1861;25/01/1928;Inattivo
LE;075001;"ACQUARICA DEL CAPO";A042;17/03/1861;14/05/2019;Inattivo
CZ;079001;ACQUARO;A043;17/03/1861;15/04/1992;Inattivo
VV;102001;ACQUARO;A043;16/04/1992;;Attivo
AP;044001;ACQUASANTA;A044;25/12/1865;14/12/1957;Inattivo
AP;044001;"ACQUASANTA TERME";A044;15/12/1957;;Attivo
PG;054808;ACQUASPARTA;A045;17/03/1861;11/01/1927;Inattivo
TR;055001;ACQUASPARTA;A045;12/01/1927;;Attivo
CO;013802;ACQUATE;A046;17/03/1861;11/01/1924;Inattivo
CB;070001;"ACQUAVIVA COLLECROCE";A050;17/03/1861;;Attivo
CB;070002;"ACQUAVIVA D'ISERNIA";A051;17/03/1861;31/05/1928;Inattivo
CB;070002;"ACQUAVIVA D'ISERNIA";A051;26/04/1946;02/03/1970;Inattivo
IS;094001;"ACQUAVIVA D'ISERNIA";A051;03/03/1970;;Attivo
BA;072001;"ACQUAVIVA DELLE FONTI";A048;19/01/1863;;Attivo
AP;044002;"ACQUAVIVA PICENA";A047;24/11/1862;;Attivo
CL;085001;"ACQUAVIVA PLATANI";A049;31/10/1862;;Attivo
ME;083107;ACQUEDOLCI;M211;01/01/1861;;Attivo
AL;006001;ACQUI;A052;17/03/1861;23/05/1956;Inattivo
AL;006001;"ACQUI TERME";A052;24/05/1956;;Attivo
CS;078003;ACRI;A053;17/03/1861;;Attivo
RM;058804;ACUTO;A054;15/01/1871;11/01/1927;Inattivo
FR;060002;ACUTO;A054;12/01/1927;;Attivo
BA;072002;ADELFIA;A055;08/11/1927;;Attivo
CT;087006;ADERNO';A056;17/03/1861;22/08/1929;Inattivo
CT;087006;ADRANO;A056;23/08/1929;;Attivo
BG;016001;"ADRARA SAN MARTINO";A057;17/03/1861;;Attivo
BG;016002;"ADRARA SAN ROCCO";A058;17/03/1861;;Attivo
RO;029001;ADRIA;A059;19/11/1866;;Attivo
BS;017002;ADRO;A060;17/03/1861;;Attivo
VR;023001;AFFI;A061;19/11/1866;;Attivo
RM;058001;AFFILE;A062;15/01/1871;;Attivo
MI;015801;AFFORI;A063;23/08/1884;13/10/1923;Inattivo
NA;063002;AFRAGOLA;A064;17/03/1861;;Attivo
RC;080001;AFRICO;A065;17/03/1861;;Attivo
NO;003801;AGARO;A066;17/03/1861;16/10/1928;Inattivo
PC;033001;AGAZZANO;A067;17/03/1861;;Attivo
NA;063003;AGEROLA;A068;17/03/1861;;Attivo
SS;090001;AGGIUS;A069;17/03/1861;31/12/2005;Inattivo
SS;090001;AGGIUS;A069;28/04/2016;31/03/2025;Inattivo
OT;104001;AGGIUS;A069;01/01/2006;27/04/2016;Inattivo
OT;113001;Aggius;A069;01/04/2025;;Attivo
EN;086001;AGIRA;A070;12/01/1927;;Attivo
CT;087803;AGIRA;A070;17/03/1861;11/01/1927;Inattivo
PT;047002;AGLIANA;A071;12/01/1927;;Attivo
FI;048806;AGLIANA;A071;09/11/1913;11/01/1927;Inattivo
AT;005001;AGLIANO;A072;08/04/1935;17/03/1995;Inattivo
AL;006827;AGLIANO;A072;17/03/1861;07/04/1935;Inattivo
AT;005001;"AGLIANO TERME";A072;18/03/1995;;Attivo
TO;001001;AGLIE';A074;05/10/1945;;Attivo
TO;001001;AGLIE';A074;17/03/1861;11/01/1927;Inattivo
AO;007805;AGLIE';A074;12/01/1927;04/10/1945;Inattivo
SS;090062;AGLIENTU;H848;28/04/2016;31/03/2025;Inattivo
SS;090062;AGLIENTU;H848;07/05/1968;31/12/2005;Inattivo
OT;104002;AGLIENTU;H848;01/01/2006;27/04/2016;Inattivo
OT;113002;Aglientu;H848;01/04/2025;;Attivo
PD;028002;AGNA;A075;19/11/1866;;Attivo
CR;019002;AGNADELLO;A076;17/03/1861;;Attivo
RC;080002;"AGNANA CALABRA";A077;17/03/1861;;Attivo
NO;003802;AGNELLENGO;A078;17/03/1861;13/06/1928;Inattivo
VC;002801;AGNONA;A079;12/01/1927;05/09/1928;Inattivo
NO;003906;AGNONA;A079;17/03/1861;11/01/1927;Inattivo
CB;070003;AGNONE;A080;17/03/1861;02/03/1970;Inattivo
IS;094002;AGNONE;A080;03/03/1970;;Attivo
BS;017003;AGNOSINE;A082;17/03/1861;;Attivo
BL;025001;AGORDO;A083;19/11/1866;;Attivo
RM;058002;AGOSTA;A084;15/01/1871;;Attivo
VA;012001;AGRA;A085;12/01/1927;;Attivo
CO;013963;AGRA;A085;17/03/1861;11/01/1927;Inattivo
NO;003803;AGRANO;A086;17/03/1861;24/03/1928;Inattivo
MI;015003;"AGRATE BRIANZA";A087;04/02/1869;29/06/2009;Inattivo
MB;108001;"AGRATE BRIANZA";A087;30/06/2009;;Attivo
NO;003001;"AGRATE CONTURBIA";A088;23/04/1863;;Attivo
AG;084001;AGRIGENTO;A089;27/07/1927;;Attivo
TN;022801;AGRONE;A090;14/02/1923;06/03/1928;Inattivo
TN;802002;AGRONE;A090;16/10/1920;13/02/1923;Inattivo
SA;065002;AGROPOLI;A091;17/03/1861;;Attivo
AN;042001;AGUGLIANO;A092;17/03/1861;;Attivo
VI;024001;AGUGLIARO;A093;19/11/1866;;Attivo
AO;007007;AIAS;A094;21/10/1939;29/01/1946;Inattivo
UD;030822;AIBA;A095;08/02/1923;11/01/1927;Inattivo
GO;031812;AIBA;A095;12/01/1927;12/03/1928;Inattivo
GO;801001;AIBA;A095;05/01/1921;07/02/1923;Inattivo
MI;015004;AICURZIO;A096;04/07/1909;29/06/2009;Inattivo
MB;108002;AICURZIO;A096;30/06/2009;;Attivo
CA;092002;AIDOMAGGIORE;A097;17/03/1861;19/08/1974;Inattivo
OR;095002;AIDOMAGGIORE;A097;20/08/1974;31/03/2025;Inattivo
OR;115002;Aidomaggiore;A097;01/04/2025;;Attivo
CL;085801;AIDONE;A098;17/03/1861;11/01/1927;Inattivo
EN;086002;AIDONE;A098;12/01/1927;;Attivo
UD;030823;AIDUSSINA;A099;08/02/1923;11/01/1927;Inattivo
GO;031701;AIDUSSINA;A099;12/01/1927;15/09/1947;Inattivo
GO;801002;AIDUSSINA;A099;05/01/1921;07/02/1923;Inattivo
AQ;066002;AIELLI;A100;17/03/1861;;Attivo
CS;078004;"AIELLO CALABRO";A102;19/05/1928;;Attivo
UD;030001;"AIELLO DEL FRIULI";A103;08/02/1923;;Attivo
UD;801003;"AIELLO DEL FRIULI";A103;05/01/1921;07/02/1923;Inattivo
AV;064001;"AIELLO DEL SABATO";A101;16/01/1864;;Attivo
CS;078801;"AIELLO IN CALABRIA";A104;01/04/1864;18/05/1928;Inattivo
CS;078005;AIETA;A105;17/03/1861;11/05/1928;Inattivo
CS;078005;AIETA;A105;18/07/1937;;Attivo
CE;061001;AILANO;A106;01/09/1945;;Attivo
CE;061001;AILANO;A106;17/03/1861;11/01/1927;Inattivo
BN;062809;AILANO;A106;12/01/1927;31/08/1945;Inattivo
VC;002001;AILOCHE;A107;12/01/1927;15/04/1992;Inattivo
NO;003907;AILOCHE;A107;17/03/1861;11/01/1927;Inattivo
BI;096001;AILOCHE;A107;16/04/1992;;Attivo
AO;007008;AIMAVILLA;A108;04/07/1939;29/01/1946;Inattivo
TO;001002;AIRASCA;A109;26/05/1893;;Attivo
BN;062001;AIROLA;A110;17/03/1861;;Attivo
IM;008001;AIROLE;A111;17/03/1861;;Attivo
CO;013002;AIRUNO;A112;17/03/1861;15/04/1992;Inattivo
LC;097002;AIRUNO;A112;16/04/1992;;Attivo
CN;004002;AISONE;A113;17/03/1861;;Attivo
CO;013803;AIZURRO;A114;17/03/1861;08/11/1927;Inattivo
TN;022001;ALA;A116;14/02/1923;;Attivo
TN;802003;ALA;A116;16/10/1920;13/02/1923;Inattivo
OT;113003;"Alà dei Sardi";A115;01/04/2025;;Attivo
TO;001003;"ALA DI STURA";A117;11/03/1864;;Attivo
SS;090002;"ALA' DEI SARDI";A115;14/01/1864;31/12/2005;Inattivo
SS;090002;"ALA' DEI SARDI";A115;28/04/2016;31/03/2025;Inattivo
OT;104003;"ALA' DEI SARDI";A115;01/01/2006;27/04/2016;Inattivo
PV;018001;ALAGNA;A118;17/03/1861;;Attivo
VC;002002;"ALAGNA VALSESIA";A119;12/01/1927;;Attivo
NO;003908;"ALAGNA VALSESIA";A119;07/11/1864;11/01/1927;Inattivo
TE;067802;ALANNO;A120;17/03/1861;11/01/1927;Inattivo
PE;068002;ALANNO;A120;12/01/1927;;Attivo
BL;025002;"ALANO DI PIAVE";A121;12/04/1867;21/01/2024;Inattivo
SV;009001;ALASSIO;A122;12/01/1927;;Attivo
GE;010830;ALASSIO;A122;17/03/1861;11/01/1927;Inattivo
RM;058805;ALATRI;A123;15/01/1871;11/01/1927;Inattivo
FR;060003;ALATRI;A123;12/01/1927;;Attivo
CN;004003;ALBA;A124;17/03/1861;;Attivo
TE;067001;"ALBA ADRIATICA";A125;29/07/1956;;Attivo
CA;092078;ALBAGIARA;A126;09/06/1964;19/08/1974;Inattivo
OR;095003;ALBAGIARA;A126;20/08/1974;31/03/2025;Inattivo
OR;115003;Albagiara;A126;01/04/2025;;Attivo
MI;015005;ALBAIRATE;A127;17/03/1861;;Attivo
SA;065003;ALBANELLA;A128;17/03/1861;;Attivo
PZ;076003;"ALBANO DI LUCANIA";A131;10/04/1863;;Attivo
RM;058003;"ALBANO LAZIALE";A132;02/10/1872;;Attivo
BG;016003;"ALBANO SANT'ALESSANDRO";A129;13/07/1863;;Attivo
VC;002003;"ALBANO VERCELLESE";A130;12/01/1927;;Attivo
NO;003909;"ALBANO VERCELLESE";A130;29/12/1862;11/01/1927;Inattivo
CE;061801;ALBANOVA;A133;01/09/1945;25/03/1946;Inattivo
NA;063814;ALBANOVA;A133;23/05/1928;31/08/1945;Inattivo
PV;018002;"ALBAREDO ARNABOLDI";A134;20/01/1948;17/11/2023;Inattivo
PV;018002;"ALBAREDO ARNABOLDI";A134;30/03/1863;09/11/1928;Inattivo
VR;023002;"ALBAREDO D'ADIGE";A137;26/08/1867;;Attivo
SO;014001;"ALBAREDO PER SAN MARCO";A135;13/07/1863;;Attivo
PR;034001;ALBARETO;A138;27/02/1946;;Attivo
PR;034001;"ALBARETO DI BORGOTARO";A138;20/10/1862;28/06/1928;Inattivo
CN;004004;"ALBARETTO DELLA TORRE";A139;30/03/1947;;Attivo
CN;004004;"ALBARETTO DELLA TORRE";A139;19/12/1862;01/05/1928;Inattivo
CN;004801;"ALBARETTO VALLE DI MACRA";A140;30/03/1863;30/05/1928;Inattivo
CO;013804;ALBATE;A142;17/03/1861;12/08/1943;Inattivo
CO;013003;ALBAVILLA;A143;29/07/1928;;Attivo
BG;016801;ALBEGNO;A144;17/03/1861;13/12/1928;Inattivo
SV;009002;ALBENGA;A145;12/01/1927;;Attivo
GE;010831;ALBENGA;A145;17/03/1861;11/01/1927;Inattivo
TS;032806;"ALBER DI SESANA";A148;27/04/1923;21/10/1927;Inattivo
AL;006002;"ALBERA LIGURE";A146;04/09/1947;;Attivo
AL;006002;"ALBERA LIGURE";A146;26/01/1863;27/05/1929;Inattivo
BA;072003;ALBEROBELLO;A149;28/01/1895;;Attivo
FG;071002;ALBERONA;A150;17/03/1861;;Attivo
BZ;021802;ALBES;A151;12/01/1927;08/09/1928;Inattivo
TN;022944;ALBES;A151;14/02/1923;11/01/1927;Inattivo
TN;802004;ALBES;A151;16/10/1920;13/02/1923;Inattivo
CO;013805;ALBESE;A152;17/03/1861;22/09/1928;Inattivo
CO;013004;"ALBESE CON CASSANO";A153;23/09/1928;;Attivo
VI;024002;ALBETTONE;A154;19/11/1866;;Attivo
CZ;079002;ALBI;A155;17/03/1861;;Attivo
TN;022002;ALBIANO;A158;14/02/1923;;Attivo
TN;802005;ALBIANO;A158;16/10/1920;13/02/1923;Inattivo
TO;001004;"ALBIANO D'IVREA";A157;05/01/1863;11/01/1927;Inattivo
TO;001004;"ALBIANO D'IVREA";A157;05/10/1945;;Attivo
AO;007806;"ALBIANO D'IVREA";A157;12/01/1927;04/10/1945;Inattivo
MI;015006;ALBIATE;A159;17/03/1861;29/06/2009;Inattivo
MB;108003;ALBIATE;A159;30/06/2009;;Attivo
CS;078006;ALBIDONA;A160;17/03/1861;;Attivo
PD;028003;ALBIGNASEGO;A161;19/11/1866;;Attivo
RE;035001;ALBINEA;A162;17/03/1861;;Attivo
BG;016004;ALBINO;A163;17/03/1861;;Attivo
CO;013005;ALBIOLO;A164;17/03/1861;;Attivo
SV;009004;"ALBISOLA SUPERIORE";A166;12/01/1927;;Attivo
GE;010832;"ALBISOLA SUPERIORE";A166;17/03/1861;11/01/1927;Inattivo
SV;009003;"ALBISSOLA MARINA";A165;12/01/1927;;Attivo
GE;010833;"ALBISSOLA MARINA";A165;17/03/1861;11/01/1927;Inattivo
VA;012002;ALBIZZATE;A167;12/01/1927;;Attivo
MI;015986;ALBIZZATE;A167;11/03/1869;11/01/1927;Inattivo
CO;013806;ALBOGASIO;A168;17/03/1861;09/06/1927;Inattivo
NO;003804;ALBOGNO;A169;17/03/1861;28/06/1928;Inattivo
PL;702701;ALBONA;A170;08/02/1923;15/09/1947;Inattivo
PL;801005;ALBONA;A170;05/01/1921;07/02/1923;Inattivo
PV;018003;ALBONESE;A171;17/03/1861;;Attivo
SO;014002;ALBOSAGGIA;A172;17/03/1861;;Attivo
AT;005002;ALBUGNANO;A173;08/04/1935;;Attivo
AL;006828;ALBUGNANO;A173;17/03/1861;07/04/1935;Inattivo
PV;018004;ALBUZZANO;A175;01/11/1872;;Attivo
TP;081001;ALCAMO;A176;17/03/1861;;Attivo
ME;083001;"ALCARA LI FUSI";A177;01/01/1868;;Attivo
TN;022003;ALDENO;A178;14/02/1923;;Attivo
TN;802006;ALDENO;A178;16/10/1920;13/02/1923;Inattivo
BZ;021001;ALDINO;A179;02/03/1955;;Attivo
CA;092003;ALES;A180;17/03/1861;19/08/1974;Inattivo
OR;095004;ALES;A180;20/08/1974;31/03/2025;Inattivo
OR;115004;Ales;A180;01/04/2025;;Attivo
AL;006003;ALESSANDRIA;A182;17/03/1861;;Attivo
CS;078007;"ALESSANDRIA DEL CARRETTO";A183;06/02/1863;;Attivo
AG;084002;"ALESSANDRIA DELLA ROCCA";A181;19/01/1863;;Attivo
LE;075002;ALESSANO;A184;17/03/1861;;Attivo
LE;075003;ALEZIO;A185;16/07/1873;;Attivo
SA;065004;ALFANO;A186;17/03/1861;;Attivo
AQ;066003;ALFEDENA;A187;17/03/1861;;Attivo
BS;017004;ALFIANELLO;A188;17/03/1861;;Attivo
AL;006004;"ALFIANO NATTA";A189;16/02/1863;;Attivo
RA;039001;ALFONSINE;A191;17/03/1861;;Attivo
SS;090003;ALGHERO;A192;17/03/1861;31/03/2025;Inattivo
SS;112001;Alghero;A192;01/04/2025;;Attivo
BG;016248;ALGUA;A193;20/10/1963;;Attivo
BG;016248;"ALGUA DI COSTA SERINA";A193;20/11/1927;23/03/1928;Inattivo
BG;016248;"ALGUA DI COSTA SERINA";A193;21/04/1948;19/10/1963;Inattivo
ME;083002;ALI';A194;17/03/1861;;Attivo
ME;083003;"ALI' MARINA";A201;24/04/1946;14/08/1954;Inattivo
ME;083003;"ALI' MARINA";A201;26/07/1910;07/10/1928;Inattivo
ME;083003;"ALI' TERME";A201;15/08/1954;;Attivo
PA;082001;ALIA;A195;17/03/1861;;Attivo
PZ;076803;ALIANO;A196;17/03/1861;11/01/1927;Inattivo
MT;077002;ALIANO;A196;12/01/1927;;Attivo
AL;006005;"ALICE BEL COLLE";A197;16/02/1863;;Attivo
VC;002004;"ALICE CASTELLO";A198;12/01/1927;;Attivo
NO;003910;"ALICE CASTELLO";A198;29/12/1862;11/01/1927;Inattivo
TO;001005;"ALICE SUPERIORE";A199;05/10/1945;31/12/2018;Inattivo
TO;001005;"ALICE SUPERIORE";A199;17/03/1861;11/01/1927;Inattivo
AO;007807;"ALICE SUPERIORE";A199;12/01/1927;04/10/1945;Inattivo
CE;061002;ALIFE;A200;01/09/1945;;Attivo
CE;061002;ALIFE;A200;17/03/1861;11/01/1927;Inattivo
BN;062810;ALIFE;A200;12/01/1927;31/08/1945;Inattivo
PA;082002;ALIMENA;A202;17/03/1861;;Attivo
PA;082003;ALIMINUSA;A203;17/03/1861;;Attivo
CA;092004;ALLAI;A204;17/03/1861;19/08/1974;Inattivo
OR;095005;ALLAI;A204;20/08/1974;31/03/2025;Inattivo
OR;115005;Allai;A204;01/04/2025;;Attivo
TO;001873;ALLAIN;A205;17/03/1861;11/01/1927;Inattivo
AO;007001;ALLAIN;A205;12/01/1927;20/10/1939;Inattivo
AO;007001;ALLAIN;A205;30/01/1946;01/01/1977;Inattivo
BL;025003;ALLEGHE;A206;19/11/1866;;Attivo
AO;007001;ALLEIN;A205;02/01/1977;;Attivo
AO;007001;ALLENO;A205;21/10/1939;29/01/1946;Inattivo
PG;054809;ALLERONA;A207;22/07/1887;11/01/1927;Inattivo
TR;055002;ALLERONA;A207;12/01/1927;;Attivo
LE;075004;ALLISTE;A208;17/03/1861;;Attivo
BZ;021803;ALLIZ;A209;12/01/1927;14/05/1929;Inattivo
TN;022946;ALLIZ;A209;14/02/1923;11/01/1927;Inattivo
TN;802008;ALLIZ;A209;16/10/1920;13/02/1923;Inattivo
RM;058004;ALLUMIERE;A210;15/01/1871;;Attivo
AL;006006;"ALLUVIONI CAMBIO'";A211;17/03/1861;31/12/2017;Inattivo
AL;006192;"ALLUVIONI PIOVERA";M397;01/01/2018;;Attivo
CN;004802;ALMA;A212;17/03/1861;30/05/1928;Inattivo
TN;022802;ALMAZZAGO;A213;14/02/1923;06/10/1928;Inattivo
TN;802009;ALMAZZAGO;A213;16/10/1920;13/02/1923;Inattivo
BG;016005;ALME';A214;17/03/1861;31/07/1927;Inattivo
BG;016005;ALME';A214;26/03/1948;;Attivo
BG;016239;"ALME' CON VILLA";M305;31/07/1927;10/09/1951;Inattivo
BG;016006;"ALMENNO SAN BARTOLOMEO";A216;17/03/1861;;Attivo
BG;016007;"ALMENNO SAN SALVATORE";A217;15/01/1885;;Attivo
TO;001006;ALMESE;A218;17/03/1861;;Attivo
BS;017802;ALONE;A219;17/03/1861;02/04/1928;Inattivo
VI;024003;ALONTE;A220;19/11/1866;;Attivo
BL;025072;ALPAGO;M375;23/02/2016;;Attivo
TO;001007;ALPETTE;A221;05/10/1945;;Attivo
TO;001007;ALPETTE;A221;17/03/1861;11/01/1927;Inattivo
AO;007808;ALPETTE;A221;12/01/1927;04/10/1945;Inattivo
TO;001008;ALPIGNANO;A222;17/03/1861;;Attivo
PC;033002;ALSENO;A223;17/03/1861;;Attivo
CO;013006;ALSERIO;A224;17/03/1861;;Attivo
PC;033049;"ALTA VAL TIDONE";M386;01/01/2018;;Attivo
CO;013253;"ALTA VALLE INTELVI";M383;01/01/2017;;Attivo
BA;072004;ALTAMURA;A225;17/03/1861;;Attivo
SV;009005;ALTARE;A226;12/01/1927;;Attivo
GE;010834;ALTARE;A226;17/03/1861;11/01/1927;Inattivo
TN;022235;ALTAVALLE;M349;01/01/2016;;Attivo
AV;064002;"ALTAVILLA IRPINA";A228;29/12/1862;;Attivo
PA;082004;"ALTAVILLA MILICIA";A229;10/11/1862;;Attivo
AL;006007;"ALTAVILLA MONFERRATO";A227;16/02/1863;;Attivo
SA;065005;"ALTAVILLA SILENTINA";A230;29/12/1862;;Attivo
VI;024004;"ALTAVILLA VICENTINA";A231;02/09/1867;;Attivo
AP;044003;ALTIDONA;A233;17/03/1861;11/07/2009;Inattivo
FM;109001;ALTIDONA;A233;12/07/2009;;Attivo
CS;078008;ALTILIA;A234;17/03/1861;21/05/1928;Inattivo
CS;078008;ALTILIA;A234;18/07/1937;;Attivo
CH;069001;ALTINO;A235;17/03/1861;;Attivo
VI;024005;ALTISSIMO;A236;19/11/1866;;Attivo
TV;026001;ALTIVOLE;A237;19/11/1866;;Attivo
CN;004005;ALTO;A238;17/03/1861;;Attivo
BO;037062;"ALTO RENO TERME";M369;01/01/2016;;Attivo
VC;002170;"ALTO SERMENZA";M389;01/01/2018;;Attivo
PA;082005;ALTOFONTE;A239;15/04/1930;;Attivo
CS;078009;ALTOMONTE;A240;17/03/1861;;Attivo
LU;046001;ALTOPASCIO;A241;22/04/1881;;Attivo
TN;022236;"ALTOPIANO DELLA VIGOLANA";M350;01/01/2016;;Attivo
PG;054810;ALVIANO;A242;17/03/1861;11/01/1927;Inattivo
TR;055003;ALVIANO;A242;12/01/1927;;Attivo
CE;061003;ALVIGNANO;A243;01/09/1945;;Attivo
CE;061003;ALVIGNANO;A243;17/03/1861;11/01/1927;Inattivo
BN;062811;ALVIGNANO;A243;12/01/1927;31/08/1945;Inattivo
FR;060004;ALVITO;A244;12/01/1927;;Attivo
CE;061812;ALVITO;A244;31/12/1868;11/01/1927;Inattivo
AL;006008;ALZANO;A245;17/03/1861;11/06/1925;Inattivo
BG;016008;"ALZANO LOMBARDO";A246;07/06/1927;;Attivo
BG;016803;"ALZANO MAGGIORE";A247;17/03/1861;06/06/1927;Inattivo
AL;006008;"ALZANO SCRIVIA";A245;12/06/1925;18/06/1928;Inattivo
AL;006008;"ALZANO SCRIVIA";A245;18/07/1946;;Attivo
BG;016802;"ALZANO SOPRA";A248;17/03/1861;06/06/1927;Inattivo
CO;013007;"ALZATE BRIANZA";A249;22/09/1919;;Attivo
NO;003805;"ALZATE CON LINDUNO";A250;23/04/1863;13/06/1928;Inattivo
CO;013007;"ALZATE CON VERZAGO";A249;11/03/1864;21/09/1919;Inattivo
SA;065006;AMALFI;A251;17/03/1861;;Attivo
AP;044004;AMANDOLA;A252;17/03/1861;11/07/2009;Inattivo
FM;109002;AMANDOLA;A252;12/07/2009;;Attivo
CS;078010;AMANTEA;A253;17/03/1861;;Attivo
UD;030002;AMARO;A254;19/11/1866;;Attivo
CZ;079003;AMARONI;A255;17/03/1861;;Attivo
RM;058806;AMASENO;A256;08/07/1872;13/04/1927;Inattivo
FR;060005;AMASENO;A256;14/04/1927;;Attivo
CZ;079004;AMATO;A257;17/03/1861;;Attivo
RI;057002;AMATRICE;A258;12/01/1927;;Attivo
AQ;066809;AMATRICE;A258;17/03/1861;11/01/1927;Inattivo
BG;016009;AMBIVERE;A259;17/03/1861;;Attivo
TN;022004;AMBLAR;A260;20/09/1952;31/12/2015;Inattivo
TN;022004;AMBLAR;A260;14/02/1923;15/06/1928;Inattivo
TN;802010;AMBLAR;A260;16/10/1920;13/02/1923;Inattivo
TN;022237;AMBLAR-DON;M351;01/01/2016;;Attivo
GE;010835;AMEGLIA;A261;17/03/1861;21/12/1923;Inattivo
SP;011001;AMEGLIA;A261;22/12/1923;;Attivo
PG;054811;AMELIA;A262;30/06/1876;11/01/1927;Inattivo
TR;055004;AMELIA;A262;12/01/1927;;Attivo
CS;078011;AMENDOLARA;A263;17/03/1861;;Attivo
NO;003002;AMENO;A264;17/03/1861;;Attivo
BN;062002;AMOROSI;A265;17/03/1861;;Attivo
BL;025016;AMPEZZO;A266;14/02/1923;26/04/1923;Inattivo
UD;030003;AMPEZZO;A267;19/11/1866;;Attivo
BL;802138;AMPEZZO;A266;16/10/1920;13/02/1923;Inattivo
NA;063004;ANACAPRI;A268;17/03/1861;01/06/1927;Inattivo
NA;063004;ANACAPRI;A268;02/04/1946;;Attivo
RM;058807;ANAGNI;A269;15/01/1871;11/01/1927;Inattivo
FR;060006;ANAGNI;A269;12/01/1927;;Attivo
TE;067002;ANCARANO;A270;17/03/1861;;Attivo
AN;042002;ANCONA;A271;17/03/1861;;Attivo
